,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature,albumName,albumID
931,Shankar-Ehsaan-Loy,Kabhi Alvida Naa Kehna,1158,2021-03-22 19:52:00,0.365,0.407,5,-10.352,1,0.0424,0.752,0.00129,0.212,0.464,149.161,4uXShFWajd1PTQzlW3P4jj,4,Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack),4hYTERVUXY74XJdm8tyXBV
933,A.R. Rahman,Kaise Mujhe (Instrumental),166,2021-03-22 19:52:00,0.598,0.461,10,-13.836,1,0.0304,0.844,0.918,0.133,0.43,82.032,02nOZG5WrxCHEYbjjxeZQf,4,Ghajini,1bakFVqPdxrSCSZI2HUGhJ
934,KK,Ajab Si,54,2021-03-22 19:52:00,0.697,0.438,8,-8.411,1,0.0289,0.397,0.0,0.293,0.58,117.954,5FXMRdJjKq1BIX4e8Eg9mK,4,Om Shanti Om,2cUzlmLfL5LUTSEk7qG09k
935,Shankar-Ehsaan-Loy,Rockin' Goa (Instrumental),1415,2021-03-22 19:52:00,0.573,0.734,0,-8.432,1,0.0271,5.64e-05,0.814,0.113,0.761,100.028,2wKYnr0RvXfBAwsABfbgEO,4,Dil Chahta Hai,3Hks2UVvtQT8Q9VHRAJUgI
936,Pritam,Tu Chahiye,474,2021-03-22 19:52:00,0.565,0.744,7,-5.817,1,0.0446,0.403,0.0,0.0853,0.415,134.068,3aaiAWCet6sbfOfLSn3g7i,4,Bajrangi Bhaijaan,4nZOPP0atfJbBlkedLYi7t
937,Shankar-Ehsaan-Loy,Mitwa,2028,2021-03-22 19:52:00,0.63,0.63,4,-7.525,1,0.0364,0.295,1.26e-05,0.0934,0.517,107.103,4BTPzhEsyW3blWcxcuhLM0,4,Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack),4hYTERVUXY74XJdm8tyXBV
938,Shahid Mallya,Hass Nache Le,1747,2021-03-22 19:55:00,0.516,0.565,9,-6.897,1,0.0351,0.58,4.48e-05,0.0898,0.463,91.945,0XUxzBHZa1pDcXjZfce0Mh,4,Udta Punjab,6FfNmnl6x2AURdIRKJj925
939,Shankar Mahadevan,Maa,1198,2021-03-22 19:55:00,0.392,0.256,0,-13.147,1,0.0369,0.728,9.46e-05,0.0462,0.154,67.609,4SuA85PaD8GFTPYwKNYDe1,4,Taare Zameen Par,3krigkIAxyZMBcxYfE0jlE
954,Bob Marley & The Wailers,Turn Your Lights Down Low,47660,2021-03-23 05:54:00,0.733,0.668,2,-5.3,1,0.0685,0.0137,1.57e-06,0.0393,0.713,83.11,7I1fHMDNlHobS8SBUJAUDt,4,Chant Down Babylon,4hV6TxaUkzEi4wUN6Fd0s7
1097,Linkin Park,Invisible,214346,2021-03-24 15:12:00,0.47,0.74,11,-6.093,1,0.07,0.0455,0.0,0.091,0.562,84.841,6OocN63GLU7NF0wHdewhID,4,One More Light,5Eevxp2BCbWq25ZdiXRwYd
1163,Eminem,Criminal,1107,2021-03-24 20:21:00,0.81,0.724,4,-6.153,0,0.268,0.127,0.0,0.306,0.573,101.941,18ohWhzbMCynq5QJ68ifkW,4,The Marshall Mathers LP,6t7956yu5zYf5A829XRiHC
1177,Eminem,Kim,93309,2021-03-25 06:19:00,0.587,0.923,4,-3.05,0,0.441,0.0216,0.0,0.481,0.0778,142.075,20oenBXlmwIfK0F3fQIjhM,4,The Marshall Mathers LP,6t7956yu5zYf5A829XRiHC
1216,The 1975,TOOTIMETOOTIMETOOTIME,5770,2021-03-25 14:49:00,0.667,0.824,8,-5.867,1,0.0665,0.177,0.0152,0.0933,0.518,114.998,33DzKnwuBE6lfOiADwzd5E,4,A Brief Inquiry Into Online Relationships,6PWXKiakqhI17mTYM4y6oY
1227,OneRepublic,Wherever I Go,169773,2021-03-25 15:01:00,0.552,0.689,10,-6.444,0,0.0425,0.0915,0.0,0.27,0.349,99.961,46jLy47W8rkf8rEX04gMKB,4,Oh My My (Deluxe),6p01JdkB7ry8iAf4IuC1Lv
1229,Bastille,Good Grief,206493,2021-03-25 15:27:00,0.73,0.758,1,-4.888,1,0.0653,0.147,0.0,0.311,0.877,120.041,6IGA5YrFiEr5ANrMqKkR6H,4,Wild World,5NfeW0DqFVT3Su3kHBgTf4
1264,Steve Brian,Wait For Me,143593,2021-03-26 01:46:00,0.465,0.739,10,-7.786,1,0.0648,0.00987,1.88e-06,0.373,0.0652,125.994,6laq4MxNrh2ZKZGLhB7G0V,4,Wanderlust,5FDLJc6wSkoj1gstHyE5lA
1270,Eminem,Stepdad - Intro,15160,2021-03-26 03:31:00,0.583,0.445,5,-7.561,1,0.354,0.0724,0.0,0.453,0.555,53.767,3JuHsGcf7lBoZu3rMpGaCo,3,Music To Be Murdered By,2LWLgGY15e9im0KUaASnFa
1271,Eminem,"I Will (feat. KXNG Crooked, Royce Da 5'9"" & Joell Ortiz)",303000,2021-03-26 05:32:00,0.635,0.543,8,-5.941,1,0.067,0.0454,0.000678,0.272,0.036,98.743,3CJbxqRQ0JNCqboWDNUUeX,4,Music To Be Murdered By,4otkd9As6YaxxEkIjXPiZ6
1275,Eminem,Steve Berman - Skit,5502,2021-03-26 05:57:00,0.682,0.0987,1,-22.723,1,0.612,0.133,0.0,0.105,0.396,100.247,5ZxX55HFfi4aofGTxMp58x,5,The Eminem Show,2cWBwpqMsDJC1ZUwz813lo
1276,Eminem,Medicine Ball,63573,2021-03-26 05:58:00,0.776,0.943,1,-2.559,1,0.257,0.105,0.0,0.212,0.695,119.858,2cgZkUVmNJeJZFLEAyh5Qj,5,Relapse: Refill,7MZzYkbHL9Tk3O6WeD4Z0Z
1277,Eminem,Careful What You Wish For,89458,2021-03-26 06:06:00,0.634,0.601,6,-5.614,0,0.429,0.141,0.0,0.326,0.601,68.423,4R2ibsoF3A9Tv64DjEfyj9,1,Relapse: Refill,7MZzYkbHL9Tk3O6WeD4Z0Z
1279,Eminem,Talkin’ 2 Myself,217456,2021-03-26 06:18:00,0.421,0.963,4,-2.16,0,0.415,0.0819,0.0,0.5,0.494,180.336,66h8hB4In6t725WtAPL23J,4,Recovery,47BiFcV59TQi2s9SkBo2pb
1409,Arctic Monkeys,Potion Approaching,212133,2021-03-27 13:05:00,0.421,0.758,4,-8.945,0,0.0429,0.0062,0.0673,0.0905,0.767,103.659,3RHHXwyRtskFx87sX80xEy,4,Humbug,5IEoiwkThhRmSMBANhpxl2
1410,Arctic Monkeys,505 - Live,275733,2021-03-27 13:10:00,0.343,0.724,0,-9.384,1,0.0753,0.0133,3.89e-05,0.325,0.186,139.451,4Q2vbGXSU28xWveWKp4wra,4,Live at the Royal Albert Hall,7Heaa0B4KOxdWhSICTR2wE
1411,Arctic Monkeys,The Jeweller's Hands,344053,2021-03-27 13:15:00,0.51,0.8,0,-8.116,0,0.0488,0.137,0.0834,0.118,0.391,96.935,4PDPn7HosIycoXeoeibFc5,4,Humbug,5IEoiwkThhRmSMBANhpxl2
1412,Arctic Monkeys,Star Treatment,354640,2021-03-27 13:21:00,0.581,0.767,7,-5.026,0,0.0527,0.243,0.00131,0.141,0.673,120.07,0b93tWwuoAC0nXe1CfR30I,4,Tranquility Base Hotel & Casino,7v6FNgLDS8KmaWA1amUtqe
1413,Arctic Monkeys,D is for Dangerous,37130,2021-03-27 13:23:00,0.555,0.925,1,-4.689,1,0.0362,1.09e-05,0.000161,0.0659,0.77,145.061,5RrHzXKmwVd5BCq4UzyJPd,4,Favourite Worst Nightmare,1XkGORuUX2QGOEIL4EbJKm
1414,A.R. Rahman,Tere Bina,1775,2021-03-27 13:23:00,0.744,0.7,2,-7.663,1,0.0375,0.278,0.000155,0.068,0.867,144.033,4FeczSomVWVyU4FW7xDeAI,4,Guru (Original Motion Picture Soundtrack),6kWI9GDPhMhaGNo80Q1XT5
1431,Weezer,Island In The Sun,171281,2021-03-28 03:42:00,0.654,0.794,4,-6.288,0,0.0284,0.00769,0.00134,0.165,0.678,114.62,10J5DJBogPgGQF5cEyCJe9,4,Bong Hits: Sunshine & Buds,71bGLNk08hyi18u3v1R4xZ
1432,Breaking Benjamin,The Diary of Jane - Single Version,200546,2021-03-28 03:45:00,0.392,0.964,10,-4.441,0,0.0644,7.13e-05,0.0387,0.106,0.269,167.024,0faXHILILebCGnJBPU6KJJ,4,Phobia (Clean Version),2usyeZYdUHKlNHKDKgAYSo
1448,Oasis,Stop Crying Your Heart Out,303133,2021-03-28 07:47:00,0.38,0.573,2,-5.334,1,0.03,0.077,2.38e-06,0.0776,0.0901,74.988,5YciOakY5dB5dULkiLdCaf,4,Heathen Chemistry,4mMan8IGNJUhZ6du15ki5T
1467,The All-American Rejects,Gives You Hell,213106,2021-03-28 18:30:00,0.718,0.691,4,-6.44,1,0.0387,0.0159,0.0,0.0627,0.552,100.008,5gb9UJkh8TfrNMRYOJNbew,4,When The World Comes Down,5doKZJ05r4UbAp9rmpDRDD
1468,Sum 41,Still Waiting,158733,2021-03-28 18:33:00,0.431,0.95,7,-4.918,1,0.26,0.00105,3.63e-05,0.272,0.56,191.936,0jqK7sGTLsHPkQrrcrGuKD,4,Does This Look Infected?,2iOJEUCKJaYseov1qA8ot8
1470,blink-182,Bored to Death,135748,2021-03-28 19:20:00,0.502,0.966,0,-3.876,1,0.0946,0.00575,1.56e-06,0.117,0.638,159.948,44TuSOP6xIAEeJmZsN3nXO,4,California,4wuYQ9hyF1EGmrtjMpgpE9
1611,Dua Lipa,Homesick,3622,2021-03-30 18:44:00,0.426,0.224,6,-8.683,1,0.0391,0.948,0.0,0.112,0.399,85.728,5E5MqaS6eOsbaJibl3YeMZ,5,Dua Lipa (Deluxe),01sfgrNbnnPUEyz6GZYlt9
1612,Beyoncé,If I Were a Boy,2736,2021-03-30 18:44:00,0.63,0.504,6,-6.152,1,0.0334,0.0953,0.0,0.308,0.487,89.946,1oQZk2bKBLgP1cbuFKvjkq,4,I AM...SASHA FIERCE - Platinum Edition,3ROfBX6lJLnCmaw1NrP5K9
1617,Emeli Sandé,Clown,3876,2021-03-30 18:45:00,0.449,0.235,7,-8.139,1,0.0371,0.918,0.00131,0.111,0.228,129.904,7Jlo3mmHN7nUHkT0jp138K,3,Ostern,5pksJweH9X54MXzGROLAfx
1782,Madan Mohan,Hum To Bhai Jaise Hain,17778,2021-04-02 15:32:00,0.728,0.804,7,-6.191,0,0.0481,0.238,0.00162,0.163,0.578,97.991,1eR6d1EuujPXYHXEKgK6VU,4,Veer - Zaara,690w3h4czL3x3W3zIgEcB6
1783,Madan Mohan,Yeh Hum Aa Gaye Hain Kahaan,163189,2021-04-02 15:41:00,0.48,0.753,5,-7.33,0,0.0454,0.347,0.000335,0.315,0.462,90.027,7sSYkaAXRgnzoQYrGgrvlX,4,Veer - Zaara,690w3h4czL3x3W3zIgEcB6
1816,The Beatles,Yesterday - Remastered 2015,89385,2021-04-03 05:38:00,0.401,0.189,0,-11.189,1,0.0287,0.871,0.0,0.0968,0.357,94.509,4E5rL7YL0hVUPqeMSpjEF2,4,1 (Remastered),7vEJAtP3KgKSpOHVgwm3Eh
1817,David Guetta,Yesterday (feat. Bebe Rexha),20694,2021-04-03 05:38:00,0.57,0.782,9,-4.379,0,0.0331,0.0242,6.66e-05,0.329,0.276,127.94,6CZh6hYZajOjpEcPmnRMnt,4,Listen,77UW17CZFyCaRLHdHeofZu
1818,The Beatles,Hey Jude,20990,2021-04-03 05:39:00,0.386,0.607,10,-7.7,1,0.0261,0.0112,1.38e-05,0.088,0.532,147.207,0aym2LBJBk9DAYuHHutrIl,4,1 (Remastered),7vEJAtP3KgKSpOHVgwm3Eh
1870,Leona Lewis,Better in Time,209121,2021-04-04 10:59:00,0.584,0.7,6,-4.251,1,0.0506,0.512,2.43e-05,0.13,0.549,163.953,2iXBZ32Fz5VDCLeE0JIdX5,4,Spirit,0VaAFegRAAn4OCg7p4QjN5
1971,Fall Out Boy,Save Rock And Roll,13691,2021-04-05 12:44:00,0.557,0.777,9,-6.286,1,0.0635,0.0756,4.29e-05,0.1,0.449,144.968,6SFTYQSczxhBNKR5bYjGMD,4,Save Rock And Roll,5jKMfS57mHTHzlSFGfPFxU
1990,Pritam,Khairiyat,280281,2021-04-06 07:09:00,0.534,0.481,0,-9.016,0,0.0412,0.697,0.0,0.142,0.293,124.914,5O932cZmzOZGOGZz9RHx20,4,Chhichhore,2Svje8vKEM4VCKxoRyAvA4
1991,Pritam,Control,216885,2021-04-06 07:12:00,0.801,0.872,9,-5.24,0,0.0461,0.604,0.0108,0.21,0.572,117.984,30UNovr63YaRTNb6qjfGr7,4,Chhichhore,2Svje8vKEM4VCKxoRyAvA4
1992,Pritam,Woh Din,258036,2021-04-06 07:17:00,0.652,0.681,0,-7.565,1,0.0379,0.503,8.2e-06,0.181,0.677,81.489,5qtEWwRUX3GKgpWwDQf9SA,4,Chhichhore,2Svje8vKEM4VCKxoRyAvA4
2129,Travis,Sing,31091,2021-04-08 21:01:00,0.635,0.677,10,-5.548,1,0.0906,0.161,0.0,0.154,0.252,94.949,3Lm7TiQTaOwrO1nJfvt2je,4,Exam Week: Mood Boost,7xbhWriCDTK6phNvC1lNaE
2136,BROCKHAMPTON,BUZZCUT (feat. Danny Brown),3970,2021-04-09 04:27:00,0.717,0.758,2,-5.576,0,0.268,0.0791,7.08e-06,0.293,0.252,91.983,3uOIoS7lOvzQAtbbyttHp6,4,BUZZCUT (feat. Danny Brown),71qxIkZvfyFGQKUe9YA0ry
2250,James Blunt,Stay the Night,23718,2021-04-09 19:01:00,0.528,0.886,11,-6.249,0,0.0329,0.0159,0.0,0.0758,0.8,96.001,7FFl1IHSsPWsfUCladsCl9,4,Some Kind of Trouble (Deluxe Edition),5b6T7m3DbNlWTwnaiuic2W
2261,Aidan Martin,Punchline (Acoustic),242442,2021-04-10 08:38:00,0.395,0.422,1,-5.931,1,0.038,0.709,0.0,0.111,0.34,95.509,0vDIjw6CATd4C94ZH96B6L,4,Punchline,0YOEriZ3lwnqXtUl6tsSwX
2262,Matt Nathanson,Come On Get Higher,215173,2021-04-10 08:42:00,0.672,0.623,9,-5.699,1,0.0297,0.241,0.0,0.0848,0.617,92.018,38YgZVHPWOWsKrsCXz6JyP,4,Some Mad Hope,45A2E1YR00sPSwxJw5d3qu
2265,Wrabel,Poetry,172347,2021-04-10 08:49:00,0.575,0.478,8,-5.517,1,0.0314,0.0208,1.11e-05,0.144,0.297,125.968,6F84CqAnWGg6CZiWFNDuQ9,4,We Could Be Beautiful,1knxEStPE5aiGzJDa75Zrf
2267,Justin Bieber,Unstable (feat. The Kid LAROI),20240,2021-04-10 08:53:00,0.495,0.333,4,-10.109,0,0.0288,0.737,0.0,0.112,0.37,99.757,137mSruegm1u6x9NvwiagR,4,Justice,5dGWwsZ9iB2Xc3UKR0gif2
2268,Joel Adams,Please Don't Go,3830,2021-04-10 08:53:00,0.513,0.768,4,-4.868,0,0.0587,0.0118,1.94e-05,0.294,0.235,84.264,3cNjgVBKTJ1SvKhunrCdVy,4,Please Don't Go,2SF8Wbc61u8hlQkZYGVCnx
2295,Jessie J,Domino,1846,2021-04-10 18:46:00,0.741,0.549,7,-4.432,1,0.0373,0.0118,0.0,0.0491,0.775,127.023,3z42NOStfPQ7PchAA1WZI0,4,The Ultimate Girl Pop Playlist,2s4kofozkLMW4xOsmPIfh8
2355,AJR,Weak,0,2021-04-11 17:28:00,0.673,0.637,5,-4.518,1,0.0429,0.137,0.0,0.184,0.678,123.98,3BuLtAmXKy5uQYl4ED1zBT,4,The Click,2nwTJuSqvCygeyI8U7vpeI
2367,Martin Garrix,Breach (Walk Alone),178125,2021-04-11 17:41:00,0.738,0.953,1,-4.781,1,0.216,0.0388,0.0146,0.214,0.483,128.069,5UHrKSQhNs96msAx8LPVwS,4,BYLAW EP,5dv1oLETxdsYOkS2Sic00z
2369,AREA21,Happy,171268,2021-04-11 17:52:00,0.951,0.605,0,-6.938,1,0.0787,0.26,3.45e-05,0.155,0.764,124.971,0dOlXduHBRVTefelocAAHJ,4,Chill House 2022,0gbH3ecBzhLaNH6KYL58Ba
2370,Martin Garrix,Welcome,5068,2021-04-11 17:52:00,0.769,0.86,7,-3.354,1,0.0946,0.271,0.0,0.116,0.543,88.025,1T5mAjBkpuczG5H6yUcSB4,4,Welcome to My Hood,1eIdNQUDw6dlSpMBoRXzIK
2385,Devan Ekambaram,O Prema,22173,2021-04-11 18:41:00,0.726,0.581,11,-8.604,1,0.0485,0.119,0.0,0.163,0.684,98.995,1K7BOhSKs5aWW4gZXt77Ij,4,Vaasu,6qOvN9Or0ozPp7K4a2sKqg
2397,Jonas Blue,Mama,2670,2021-04-11 20:21:00,0.738,0.794,11,-4.118,0,0.0416,0.101,0.0,0.0533,0.566,104.014,7jEyX4bqaCSdMN4D4JNnVj,4,Blue,2xZSrcBmvMw9Y8hac6xU7L
2415,A.R. Rahman,Yeh Haseen Vadiyan Yeh Khula Aasman,20400,2021-04-12 11:49:00,0.64,0.295,5,-16.357,1,0.0397,0.425,2.05e-06,0.0804,0.107,121.903,6NmGIj2leVHRKkHEGyechJ,4,Roja (Original Motion Picture Soundtrack),2lORIs7BAIYVH7xxcXsUn7
2423,Imagine Dragons,Shots - Live From Spotify London,212810,2021-04-12 13:26:00,0.681,0.733,11,-5.352,1,0.0668,0.265,0.0,0.714,0.411,111.058,2OmymQ2ONrm6iQJLX9qnmp,4,Imagine Dragons (Spotify Sessions),0XMkrjoxpwaGgb6MYgv2gA
2472,Metallica,Fade To Black - Remastered,140121,2021-04-13 08:01:00,0.256,0.924,7,-6.685,1,0.113,0.00369,0.234,0.114,0.28,113.574,5nekfiTN45vlxG0eNJQQye,4,Ride The Lightning (Deluxe / Remastered),4K5E5mWQbECn9aThu6Xnkx
2537,X Ambassadors,American Oxygen,84293,2021-04-13 20:33:00,0.509,0.481,0,-6.778,1,0.0289,0.142,1.15e-06,0.102,0.295,79.086,6r64PMqq9VxnT0Xr3439uH,3,American Oxygen,0OGWPqm097un4kgcpM3fh0
2566,Taylor Swift,Delicate,232253,2021-04-14 10:00:00,0.75,0.404,9,-10.178,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,6NFyWDv5CjfwuzoCkw47Xf,4,reputation,6DEjYFkNZh67HP7R9PSZvv
2575,The Killers,Mr. Brightside,852,2021-04-14 10:29:00,0.356,0.924,1,-3.74,1,0.0804,0.00101,0.0,0.0953,0.232,148.045,5Nb6GhYYwxEzt3VrS5uz3I,4,Exam Week: The Afterparty,49HvL49hiV7hGjod3eL1KD
2664,Justin Bieber,Anyone,190779,2021-04-15 16:45:00,0.686,0.538,2,-8.026,1,0.0345,0.181,3.13e-06,0.113,0.584,115.884,31qCy5ZaophVA81wtlwLc4,4,Anyone,51kijm0sjZz0yOa3kVBPUU
2666,Maren Morris,The Bones,1010,2021-04-15 16:50:00,0.612,0.57,11,-6.642,0,0.0347,0.278,0.0,0.0963,0.334,77.004,7yFhA2fUsL2oIMWlw5DaHQ,4,GIRL,3XpxioqzCTiqOSuHTXuaGf
2674,Daya,"Sit Still, Look Pretty",8927,2021-04-15 17:33:00,0.655,0.787,2,-3.031,1,0.264,0.122,3.11e-06,0.178,0.554,181.799,2DpCdPMg1BADE4HDnxt3Rd,4,"Sit Still, Look Pretty",2cE2eOy7alOZHpuelJEV8Q
2699,Bad Bunny,MIA (feat. Drake),1893,2021-04-15 20:39:00,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,116H0KvKr2Zl4RPuVBruDO,4,MIA (feat. Drake),0p0W4RXcnc59jgatcdZozO
2867,A.R. Rahman,"Roja - Version, 2",2458,2021-04-17 18:37:00,0.642,0.255,4,-18.563,1,0.0368,0.45,0.0,0.0663,0.45,91.0,3bS1taFqjZhkOBjvpim9OS,4,Roja (Original Motion Picture Soundtrack),2lORIs7BAIYVH7xxcXsUn7
2868,A.R. Rahman,Luka Chuppi,677,2021-04-17 18:38:00,0.601,0.441,4,-8.946,1,0.0285,0.645,1.08e-06,0.0986,0.202,103.862,500H9ENeR5AYbKU1ScK6ME,4,Rang De Basanti (Original Motion Picture Soundtrack),0NKNDn80mhKn4Xi6nHrsqQ
2870,Shankar-Ehsaan-Loy,Tumhi Dekho Naa,20276,2021-04-17 18:44:00,0.525,0.448,2,-10.365,0,0.0391,0.572,1.51e-05,0.107,0.356,81.131,2ILhVeTkbDAYEvesCCBsNo,4,Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack),4hYTERVUXY74XJdm8tyXBV
3041,digitalluc,Ghettos Worldwide,157497,2021-04-19 12:38:00,0.607,0.672,2,-7.732,0,0.102,0.153,0.0539,0.289,0.248,87.999,1RmlB5FlFYWQkP8BrveswR,4,Waitwait,1yWsCKu5GgKx8RcddQZmgc
3043,V.Raeter,I Love It,101603,2021-04-19 12:40:00,0.731,0.886,1,-3.228,1,0.027,0.0281,4.59e-06,0.226,0.797,125.992,25xX5zajj80p5G0n8sU5ia,4,Spring Break 2022,0K9P2Dm1cDhkFmq34KvgMl
3280,X Ambassadors,Superpower,103418,2021-04-22 06:38:00,0.648,0.979,8,-3.609,1,0.0795,0.00851,0.131,0.285,0.444,105.475,5SSr61qhwOcC1elvF0eB3C,4,VHS,7A8fZ2jjiu5heq7wNCutKN
3302,The Score,Going Home,198480,2021-04-22 13:10:00,0.615,0.848,2,-3.928,1,0.0273,0.00563,0.0,0.126,0.547,90.03,0Cz3LgsBXYwe0vM42614Gn,4,ATLAS (Deluxe),2estDSavGQ2q3IHLbzxkSE
3318,The Score,Unstoppable,192106,2021-04-22 14:28:00,0.485,0.843,1,-3.993,0,0.0467,0.00129,1.01e-05,0.14,0.602,78.001,6rrKbzJGGDlSZgLphopS49,4,ATLAS,6pUg9RDDoVyQQVJ48FkmXz
3359,AViVA,PSYCHO,10385,2021-04-23 09:22:00,0.631,0.56,7,-5.768,0,0.0408,0.0376,0.00182,0.349,0.323,140.007,4H0LPPwhIgrVO37eYOo8Ip,4,VOLUME I,7rFNFIghf6GymYHovyyrCO
3360,Armin van Buuren,Blah Blah Blah - Extended Mix,366085,2021-04-23 09:32:00,0.639,0.97,1,-5.201,1,0.182,0.00293,0.426,0.112,0.0379,137.946,186gfZVHcmNYRJR2Gi7qPy,4,Blah Blah Blah,1DOVSo3wNCS25TvFmsalJL
